STATUS,SKU,KATEGORI_CSV,CATEGORY_ID_DB
OK,PP0010963,"CYLINDER SDA PAMY",344
OK,PP0010964,"CYLINDER SDA PAMY",344
OK,PP0010965,"CYLINDER SDA PAMY",344
OK,PP0010966,"CYLINDER SDA PAMY",344
OK,PP0010967,"CYLINDER SDA PAMY",344
OK,PP0010968,"CYLINDER SDA PAMY",344
OK,PP0010969,"CYLINDER SDA PAMY",344
OK,PP0010970,"CYLINDER SDA PAMY",344
OK,PP0010971,"CYLINDER SDA PAMY",344
OK,PP0010972,"CYLINDER SDA PAMY",344
OK,PP0010973,"CYLINDER SDA PAMY",344
OK,PP0010974,"CYLINDER SDA PAMY",344
OK,PP0010975,"CYLINDER SDA PAMY",344
OK,PP0010976,"CYLINDER SDA PAMY",344
OK,PP0010977,"CYLINDER SDA PAMY",344
OK,PP0010978,"CYLINDER SDA PAMY",344
OK,PP0010979,"CYLINDER SDA PAMY",344
OK,PP0010980,"CYLINDER SDA PAMY",344
OK,PP0010981,"CYLINDER SDA PAMY",344
OK,PP0010982,"CYLINDER SDA PAMY",344
OK,PP0010983,"CYLINDER SDA PAMY",344
OK,PP0010984,"CYLINDER SDA PAMY",344
OK,PP0010985,"CYLINDER SDA PAMY",344
OK,PP0010986,"CYLINDER SDA PAMY",344
OK,PP0010987,"CYLINDER SDA PAMY",344
OK,PP0010988,"CYLINDER SDA PAMY",344
OK,PP0010989,"CYLINDER SDA PAMY",344
OK,PP0010990,"CYLINDER SDA PAMY",344
OK,PP0010991,"CYLINDER SDA PAMY",344
OK,PP0010992,"CYLINDER SDA PAMY",344
OK,PP0010993,"CYLINDER SDA PAMY",344
OK,PP0010994,"CYLINDER SDA PAMY",344
OK,PP0010995,"CYLINDER SDA PAMY",344
OK,PP0010996,"CYLINDER SDA PAMY",344
OK,PP0010997,"CYLINDER SDA PAMY",344
OK,PP0010998,"CYLINDER SDA PAMY",344
OK,PP0010999,"CYLINDER SDA PAMY",344
OK,PP0011000,"CYLINDER SDA PAMY",344
OK,PP0011001,"CYLINDER SDA PAMY",344
OK,PP0011002,"CYLINDER SDA PAMY",344
